Date,Weight,Fat
2017-02-24,223.16,32.541
2017-02-25,223.53,32.527
2017-02-26,223.9,32.513
2017-02-27,224.27,32.495
2017-02-28,222.04,32.59
2017-03-01,223.43,32.436
2017-03-02,222.99,32.064
2017-03-03,224.16,32.082
2017-03-04,225.33,32.101
2017-03-05,224.32,31.997
2017-03-06,223.04,32.032
2017-03-07,222.31,32.029
2017-03-08,224.32,31.988
2017-03-09,223.19,31.743
2017-03-10,223.19,31.673
2017-03-11,223.78,31.605
2017-03-12,224.36,31.537
2017-03-13,224.94,31.469
2017-03-14,225.53,31.399
2017-03-15,226.96,31.256
2017-03-16,224.86,31.343
2017-03-17,222.75,31.43
2017-03-18,223.61,32.161
2017-03-19,225.26,32.495
2017-03-20,226.59,32.118
2017-03-21,226.83,32.198
2017-03-22,226.06,31.927
2017-03-23,225.81,31.843
2017-03-24,224.47,31.732
2017-03-25,223.1,31.722
2017-03-26,224.14,31.718
2017-03-27,222.64,31.726
2017-03-28,222.15,31.669
2017-03-29,222.27,31.735
2017-03-30,223.15,32.07
2017-03-31,222.64,32.078
2017-04-01,223.21,32.049
2017-04-02,223.98,32.022
2017-04-03,221.91,31.923
2017-04-04,217.92,33.09
2017-04-05,220.3,33.109
2017-04-06,220.32,32.873
2017-04-07,219.09,32.726
2017-04-08,219.86,32.84
2017-04-09,219.27,32.775
2017-04-10,218.47,32.86
2017-04-11,217.57,32.933
2017-04-12,218.98,33.108
2017-04-13,220.39,33.069
2017-04-14,220.3,32.785
2017-04-15,218.14,32.673
2017-04-16,220.21,32.416
2017-04-17,220.66,32.243
2017-04-18,220.48,32.342
2017-04-19,218.94,32.462
2017-04-20,217.39,32.583
2017-04-21,218.98,32.349
2017-04-22,219.35,32.483
2017-04-23,218.5,32.553
2017-04-24,220.17,32.34
2017-04-25,218.8,32.626
2017-04-26,221.21,32.736
2017-04-27,217.53,33.04
2017-04-28,217,33.994
2017-04-29,217,33.879
2017-04-30,218.69,34.207
2017-05-01,218.6,34.136
2017-05-02,218.5,34.065
2017-05-03,218.4,33.994
2017-05-04,218.31,33.923
2017-05-05,218.21,33.852
2017-05-06,218.11,33.781
2017-05-07,218.01,33.71
2017-05-08,217.92,33.639
2017-05-09,217.82,33.568
2017-05-10,217.72,33.497
2017-05-11,217.63,33.426
2017-05-12,217.53,33.355
2017-05-13,217.43,33.284
2017-05-14,217.34,33.213
2017-05-15,217.24,33.142
2017-05-16,217.14,33.071
2017-05-17,217.04,32.99
2017-05-18,216.9,32.79
2017-05-19,216.75,32.589
2017-05-20,217.17,32.418
2017-05-21,216.69,32.576
2017-05-22,217.55,32.918
2017-05-23,216.18,33.249
2017-05-24,216.6,33.076
2017-05-25,217.19,33.5
2017-05-26,215.87,33.794
2017-05-27,216.24,33.583
2017-05-28,216.6,33.372
2017-05-29,216.97,33.161
2017-05-30,218.52,33.688
2017-05-31,216.64,33.48
2017-06-01,218.52,33.709
2017-06-02,218.12,33.645
2017-06-03,218.36,33.821
2017-06-04,219.86,33.576
2017-06-05,220.12,33.522
2017-06-06,220.38,33.468
2017-06-07,220.64,33.414
2017-06-08,220.9,33.36
2017-06-09,218.61,33.493
2017-06-10,218.32,33.279
2017-06-11,218.94,33.087
2017-06-12,218.1,33.181
2017-06-13,219.11,33.437
2017-06-14,218.78,33.221
2017-06-15,217.59,33.412
2017-06-16,218.65,33.595
2017-06-17,219.06,33.62
2017-06-18,219.47,33.646
2017-06-19,220.63,33.583
2017-06-20,222.31,33.485
2017-06-21,222.54,33.389
2017-06-22,222.77,33.292
2017-06-23,222.24,33.096
2017-06-24,221.96,33.205
2017-06-25,221.67,33.314
2017-06-26,221.38,33.425
2017-06-27,219.58,33.213
2017-06-28,216.56,32.756
2017-06-29,223.15,31.944
2017-06-30,221.92,31.944
2017-07-01,220.7,31.874
2017-07-02,219.98,32.092
2017-07-03,219.27,32.31
2017-07-04,218.91,32.683
2017-07-05,220.9,32.382
2017-07-06,219.6,32.254
2017-07-07,221.78,31.576
2017-07-08,220.85,31.681
2017-07-09,219.91,31.786
2017-07-10,218.98,31.893
2017-07-11,217.88,32.504
2017-07-12,218.43,32.305
2017-07-13,217.68,32.804
2017-07-14,217.17,32.859
2017-07-15,218.21,32.768
2017-07-16,218.78,32.609
2017-07-17,218.66,32.607
2017-07-18,218.54,32.605
2017-07-19,216.42,32.9
2017-07-20,219.2,32.88
2017-07-21,219.2,32.588
2017-07-22,218.41,33.215
2017-07-23,219.69,33.728
2017-07-24,219.4,33.875
2017-07-25,218.36,33.66
2017-07-26,218.5,33.748
2017-07-27,218.63,33.836
2017-07-28,218.76,33.925
2017-07-29,217.44,34.005
2017-07-30,216.89,34.196
2017-07-31,219.27,34.014
2017-08-01,217.59,33.561
2017-08-02,217.59,33.362
2017-08-03,217.9,33.341
2017-08-04,218.21,33.319
2017-08-05,219.97,33.409
2017-08-06,219.05,33.501
2017-08-07,215.5,33.305
2017-08-08,217.22,33.678
2017-08-09,215.92,33.631
2017-08-10,217.77,33.5
2017-08-11,216.16,33.549
2017-08-12,216.65,33.514
2017-08-13,217.13,33.479
2017-08-14,217.62,33.444
2017-08-15,218.11,33.409
2017-08-16,218.59,33.374
2017-08-17,219.08,33.339
2017-08-18,219.57,33.304
2017-08-19,220.06,33.269
2017-08-20,220.54,33.234
2017-08-21,221.03,33.199
2017-08-22,221.54,33.159
2017-08-23,219.93,32.027
2017-08-24,220.26,31.982
2017-08-25,220.26,32.212
